4/23/2018;12:58:52 PM;0;19.28;A:;;C:;57.00;D:;79.45;;
4/23/2018;12:59:03 PM;2;19.31;A:;;C:;57.00;D:;79.45;;
4/23/2018;1:04:37 PM;11;19.55;A:;;C:;57.00;D:;79.45;;
4/23/2018;1:42:45 PM;11;19.22;A:;;C:;57.00;D:;79.47;;
4/23/2018;2:42:45 PM;5;19.18;A:;;C:;57.00;D:;79.49;;
4/23/2018;3:42:45 PM;0;19.24;A:;;C:;57.00;D:;79.52;;
4/23/2018;4:42:45 PM;0;19.59;A:;;C:;57.00;D:;79.54;;
4/23/2018;5:42:45 PM;0;19.78;A:;;C:;57.00;D:;79.58;;
4/23/2018;6:42:45 PM;0;19.77;A:;;C:;57.00;D:;79.61;;
4/23/2018;7:42:45 PM;5;21.81;A:;;C:;57.00;D:;79.62;;
4/23/2018;8:42:45 PM;2;19.58;A:;;C:;57.00;D:;79.65;;
4/23/2018;9:42:45 PM;0;19.69;A:;;C:;57.00;D:;79.67;;
4/23/2018;10:42:45 PM;0;19.63;A:;;C:;57.00;D:;79.70;;
4/23/2018;11:42:45 PM;0;19.35;A:;;C:;57.02;D:;79.71;;
4/24/2018;12:42:45 AM;2;19.48;A:;;C:;57.02;D:;79.74;;
4/24/2018;1:42:45 AM;4;19.59;A:;;C:;57.02;D:;79.77;;
4/24/2018;2:42:45 AM;0;19.76;A:;;C:;57.00;D:;79.79;;
4/24/2018;3:42:45 AM;1;19.65;A:;;C:;57.02;D:;79.82;;
4/24/2018;4:42:45 AM;2;19.56;A:;;C:;57.02;D:;79.83;;
4/24/2018;5:42:45 AM;0;19.54;A:;;C:;57.02;D:;79.86;;
4/24/2018;6:42:45 AM;4;19.54;A:;;C:;56.97;D:;79.88;;
4/24/2018;7:42:45 AM;2;20.03;A:;;C:;56.97;D:;79.91;;
4/24/2018;8:42:45 AM;5;20.81;A:;;C:;56.98;D:;79.93;;
4/24/2018;9:42:45 AM;0;20.83;A:;;C:;57.00;D:;79.95;;
4/24/2018;10:42:45 AM;7;21.02;A:;;C:;57.00;D:;79.97;;
4/24/2018;11:42:45 AM;2;20.81;A:;;C:;57.00;D:;80.00;;
4/24/2018;12:42:45 PM;20;20.92;A:;;C:;57.00;D:;80.03;;
4/24/2018;1:42:45 PM;1;21.03;A:;;C:;57.00;D:;80.05;;
4/24/2018;2:42:45 PM;4;21.11;A:;;C:;57.00;D:;80.08;;
4/24/2018;3:42:45 PM;0;20.86;A:;;C:;57.00;D:;80.09;;
4/24/2018;4:42:45 PM;5;20.79;A:;;C:;57.00;D:;80.12;;
4/24/2018;5:42:45 PM;20;21.00;A:;;C:;57.00;D:;80.14;;
